rok;prijemce;castka;ucel;soubor
2026;Myslivecký spolek Výrovka;55000;podpora kultur. akcí – ples – hudební produkce, letní noc – hudební produkce, práce s dětmi – občerstvení a ceny pro děti na dětském dni, v mysliveckém kroužku, údržba mysliveckých;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Myslivecký spolek Výrovka 2026.pdf
2026;SRPZŠ;55000;;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - SRPZŠ 2026.pdf
2026;Střelická Chasa;40000;Krojovaný ples, Pololetní noc, Ostatky a další kulturní akce a činnosti spolku;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střelická Chasa 2026.pdf
2026;Diakonie ČCE -středisko Betlém;38000;provozní náklady související s poskytováním soc. služeb osobám s těžkým zdravotním postižením;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diakonie ČCE -středisko Betlém 2026.pdf
2026;Střeličáci  z.s.;30000;zvuková aparatura;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Střeličáci  z.s. 2026.pdf
2026;Komunita Blahoslavenství - Dům ve Střelicích u Brna;25000;na zateplení omítek;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Komunita Blahoslavenství - Dům ve Střelicích u Brna 2026.pdf
2026;FC AB Střelice z.s.;20000;startovné v okresní soutěži futsalu Brno, startovné v soutěži II. třída futsalu Brno, pronájem haly;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FC AB Střelice z.s. 2026.pdf
2026;Rodinné centrum PifPaf z.s.;15000;kancelářské potřeby, výtvarné potřeby, pomůcky do Klubíku, odměny pro děti;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Rodinné centrum PifPaf z.s. 2026.pdf
2026;Spolek uzenářů Střelice;15000;nákup vybavení, odborná literatura, spotřební materiál, další vzdělávání;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Spolek uzenářů Střelice 2026.pdf
2026;Pěvecký sbor Blahoslava Hajnce;10000;služby, provozní náklady;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Pěvecký sbor Blahoslava Hajnce 2026.pdf
2026;Český svaz chovatelů ZO Ostopovice;8000;posuzovatelé na podzimní výstavě zvířat, nákup materiálu a provedení opravy podstavců voliér na drůbež, doplnění podlážek pod králičí klece, opravy klecí na exotické ptactvo, nákup;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Český svaz chovatelů ZO Ostopovice 2026.pdf
